project_name,configuration,locality,2bhk_price,3bhk_price,3.5bhk_price,average_price,possession_date,updated_on,rera_flag,ready_to_move,builtup_area
Aaditya Residences,"1, 2 BHK Flats",Grant Road,₹2.6 C,N/A,N/A,₹45 K/sq.ft,"Dec, 2026",2w ago,Yes,No,N/A
"2 BHK Flat in Mira Road East, Mira Bhayandar",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1d ago,Yes,Yes,570 sq.ft
Prabhakar Esquina Private Residence,"2, 3 BHK Flats",Andheri West,₹4.41 C,₹4.68 C,N/A,₹42 K/sq.ft,"Jun, 2029",5d ago,Yes,No,N/A
Adani Airica Tower,"1, 2, 3 BHK Flats",Kanjurmarg West,₹2.07 C,₹3.53 C,N/A,₹28.29 K/sq.ft,"Dec, 2029",5d ago,Yes,No,N/A
Lodha Altus,"3, 3.5, 4 BHK Flats",Borivali West,N/A,₹4.03 C,₹4.87 C,₹37.08 K/sq.ft,"Dec, 2028",2w ago,Yes,No,N/A
Ruparel Urbana,"1, 2 BHK Flats",Kurla East,₹1.49 C,N/A,N/A,₹24.69 K/sq.ft,"Dec, 2028",5d ago,Yes,No,N/A
Flats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A
"2 BHK Flat in Chembur, Mumbai",[2 BHK Flat,Chembur,N/A,N/A,N/A,N/A,N/A,1w ago,No,Yes,725 sq.ft
Lodha Casa Evergreen,2 BHK Flat,Vikhroli West,₹1.87 C,N/A,N/A,₹34.63k/sq.ft,"Dec, 2028",3w ago,Yes,No,N/A
ID Vista Residences Wing C Tower 2,"2, 3 BHK Flats",Jogeshwari West,₹2.55 C,₹4.6 C,N/A,₹33.23 K - 41.41 K/sq.ft,"Jun, 2029",2w ago,Yes,No,N/A
Ruparel Zinnia,2 BHK Flat,Borivali West,₹1.99 C,N/A,N/A,₹30.46k/sq.ft,"Jun, 2028",2w ago,Yes,No,N/A
"2 BHK Flat in Dahisar West, Mumbai",[2 BHK Flat,Dahisar West,N/A,N/A,N/A,N/A,N/A,1w ago,No,Yes,467 sq.ft
"1 BHK Flat in Vasai West, Vasai",[1 BHK Flat,Vasai West,N/A,N/A,N/A,N/A,N/A,3w ago,Yes,Yes,705 sq.ft
Dipti Opal Bay,"2, 3, 3.5, 5.5 BHK Flats",Shivaji Park,₹3.94 C,₹5.78 C,₹9.89 C,₹55 K/sq.ft,"Dec, 2028",N/A,Yes,No,N/A
"4 BHK Flat in Vile Parle West, Mumbai",[4 BHK Flat,Vile Parle West,N/A,N/A,N/A,N/A,N/A,4w ago,No,Yes,3000 sq.ft
"3 BHK Flat in Vikhroli East, Mumbai",[3 BHK Flat,Vikhroli East,N/A,N/A,N/A,N/A,N/A,4d ago,No,Yes,900 sq.ft
"3.5 BHK Flat in Vile Parle West, Mumbai",[3.5 BHK Flat,Vile Parle West,N/A,N/A,N/A,N/A,N/A,1w ago,No,Yes,2400 sq.ft
Oberoi Eternia Towers A to D,"3, 4 BHK Flats",Mulund West,N/A,₹2.72 C,N/A,₹29.83 K/sq.ft,"Dec, 2023",5d ago,Yes,No,N/A
Vikhroli Plus Gurukrupa Anantam,"1, 2 BHK Flats",Vikhroli East,₹1.14 C,N/A,N/A,₹21.58 K/sq.ft,"Dec, 2024",N/A,Yes,No,N/A
Adityaraj Square,"1 RK, 1, 2 BHK Flats",Vikhroli East,₹1.05 C,N/A,N/A,₹21.47 K/sq.ft,"Dec, 2024",2w ago,Yes,No,N/A
Samarpan Sankalp,"1, 2 BHK Flats",Borivali East,₹1.21 C,N/A,N/A,₹24.5 K/sq.ft,"Dec, 2026",5d ago,Yes,No,N/A
Soni Arcade Building No 2,"1, 2 BHK Flats",Borivali West,₹1.97 C,N/A,N/A,₹31 K/sq.ft,"Jun, 2025",N/A,Yes,No,N/A
Haware Intelligentia Axis,"1, 2 BHK Flats",Borivali East,₹1.06 C,N/A,N/A,₹26.16 K - 29.22 K/sq.ft,"Dec, 2026",3w ago,Yes,No,N/A
Triumph Omkareshwar,2 BHK Flat,Borivali East,₹1.2 C,N/A,N/A,₹26.97 K/sq.ft,"Dec, 2024",2w ago,Yes,No,N/A
H Rishabraj Aradhana,"1, 2, 3 BHK Flats",Borivali West,₹1.65 C,₹2.21 C,N/A,₹26 K/sq.ft,"Jul, 2026",2w ago,Yes,No,N/A
Ajmera Solis,"1, 2, 3 BHK Flats",Vikhroli East,₹1.28 C,₹1.87 C,N/A,₹22 K/sq.ft,"Jan, 2031",5d ago,Yes,No,N/A
DGS Sheetal Regalia,"1, 2, 3 BHK Flats",Borivali East,₹1.61 C,₹1.96 C,N/A,₹27.44 K/sq.ft,"Dec, 2026",5d ago,Yes,No,N/A
Inventure Keshav Shiv Heights,"Studio, 1, 2, 3 BHK Flat,Studio Flats",Malad East,₹1.54 C,₹2 C,N/A,₹28.5 K/sq.ft,"Dec, 2018",2w ago,Yes,No,N/A
Sethia Imperial Avenue,"1, 2 BHK Flats",Malad East,₹1.49 C,N/A,N/A,₹26.21 K/sq.ft,"Dec, 2023",5d ago,Yes,No,N/A
Majestic Park West,"1, 2, 3 BHK Flats",Andheri West,₹1.21 C,₹3.16 C,N/A,₹32 K/sq.ft,"Jun, 2028",5d ago,Yes,No,N/A
K Ajmera Ananta,"1, 2, 3 BHK Flats",Mulund West,₹1.24 C,₹2.73 C,N/A,₹27.19 K/sq.ft,"Aug, 2025",3w ago,Yes,No,N/A
Avant Heritage III,"1, 2 BHK Flats",Jogeshwari East,₹1.38 C,N/A,N/A,₹26.66 K/sq.ft,"Dec, 2025",5d ago,Yes,No,N/A
Signature By Peridot,"1, 2 BHK Flats",Andheri West,₹1.62 C,N/A,N/A,₹31.75 K/sq.ft,"Dec, 2025",N/A,Yes,No,N/A
Godshalwar Solitaire,"2, 3 BHK Flats",Santacruz East,₹1.08 C,₹1.62 C,N/A,₹21 K/sq.ft,"Dec, 2017",N/A,Yes,No,N/A
Sheth Montana,"2, 2.5, 3, 3.5, 4 BHK Flats",Mulund West,₹1.43 C,₹2.24 C,₹4.15 C,₹24 K/sq.ft,"Oct, 2026",6d ago,Yes,No,N/A
"4 BHK Flat in Bandra West, Mumbai",[4 BHK Flat,Bandra West,N/A,N/A,N/A,N/A,N/A,3w ago,Yes,Yes,4500 sq.ft
"3 BHK Flat in Vile Parle West, Mumbai",[3 BHK Flat,Vile Parle West,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,2200 sq.ft
Flats,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes,N/A
